TAS,PTCH,ROLL,MACH,AOA1,WOW,AOA2,LATP,A_T,TRK,LOC,LATG,LONG,TAT,LGUP,LGDN,DA,DATE_DAY
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,170.612579345703,0.245979994535446,-0.021071911,-0.019547939,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.823210801,0,-4.042937363,40.4918299816353,1,170.387374877930,0.244215995073318,-0.02056396,-0.019547939,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,170.354415893555,0.244999989867210,-0.021071911,-0.021579981,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,172.167098999023,0.243627995252609,-0.02005589,-0.023611903,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,175.413467407227,0.244607985019684,-0.021579981,-0.022595882,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,176.737274169922,0.244019985198975,-0.02005589,-0.012435913,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.703104019165039,0,-3.867156113,0,-4.042937363,40.4918299816353,1,172.518661499023,0.248135998845100,-0.02056396,-0.010911942,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.714089989662170,0,-3.867156113,0,-4.042937363,40.4918299816353,1,166.888336181641,0.245391994714737,-0.022087932,-0.021071911,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.714089989662170,0,-3.867156113,0,-4.042937363,40.4918299816353,1,167.223403930664,0.247547999024391,-0.022087932,-0.023611903,22.2500000000000,1,0,0,25
0,0.0219720005989075,0.725076019763947,0,-3.867156113,0,-4.042937363,40.4918299816353,1,170.997100830078,0.246763989329338,-0.021071911,-0.023103952,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.725076019763947,0,-3.867156113,0,-3.998992051,40.4916576563234,1,173.298660278320,0.244999989867210,-0.021071911,-0.016499996,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.725076019763947,0,-3.867156113,0,-4.042937363,40.4916576563234,1,171.249771118164,0.246175989508629,-0.021071911,-0.015483975,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.725076019763947,0,-3.867156113,0,-4.042937363,40.4916576563234,1,168.431869506836,0.245587989687920,-0.021579981,-0.021071911,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.725076019763947,0,-3.867156113,0,-4.042937363,40.4916576563234,1,169.799621582031,0.246763989329338,-0.021071911,-0.021071911,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.725076019763947,0,-3.867156113,0,-4.042937363,40.4916576563234,1,171.084976196289,-0.031751977,-0.02056396,-0.019547939,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.736062049865723,0,-3.867156113,0,-4.042937363,40.4916576563234,1,170.986114501953,-0.073499994,-0.021071911,-0.018023968,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.736062049865723,0,-3.867156113,0,-4.042937363,40.4916576563234,1,169.947937011719,-0.072911994,-0.021071911,-0.018531919,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.736062049865723,0,-3.867156113,0,-4.042937363,40.4916576563234,1,169.662292480469,0.243627995252609,-0.021579981,-0.021071911,22.2500000000000,1,0,0,25
0,0.0329580008983612,0.736062049865723,0,-3.867156113,0,-4.042937363,40.4916576563234,1,170.623565673828,0.247155994176865,-0.021071911,-0.022087932,22.2500000000000,1,0,0,25
